design,batch,sequence_length,samples,kernel_median_ms,kernel_mean_ms,e2e_median_ms,e2e_mean_ms,kernel_effective_gflops,e2e_effective_gflops,mean_abs_error,max_abs_error,functional_005_pass,internal_003_pass,registers,clb_lut,bram_tiles,dsp58,uram,aie_tiles,physical_plio,routed_wns_ns
Pure-PL Baseline,1,32,10,63.9104115,63.9076161,64.3734165,64.3639826,0.135357476,0.134383919,0.000185180,0.001953006,true,true,43710,34815,45,19,131,0,0,0.000
AIE-FlashStream,1,32,10,0.4703870,0.4748385,0.9943430,1.0020767,18.390712328,8.699967717,0.000373284,0.004983485,true,false,99131,62685,186.5,24,0,64,16,0.119
